icao,latitude,longitude,velocity,heading,vertical_rate,on_ground
a1f00e,27.937,-82.192,136.02,190.46,-0.98,False
801738,22.6458,88.4409,0.51,278.44,,True
801736,19.0908,72.8575,5.4,30.94,,True
a64ce6,36.5616,-93.6341,199.28,291.66,0.33,False
abadd6,38.4456,-95.4713,188.62,6.89,-9.75,False
a426da,33.746,-80.819,184.43,188.02,-0.33,False
abc7e9,33.7907,-111.4816,148.19,215.68,-7.8,False
ad574c,35.6559,-77.6293,306.77,34.06,0.0,False
801744,20.2419,73.2566,187.11,197.44,-4.23,False
801745,19.2702,72.7293,167.23,1.23,6.5,False
801742,13.7807,78.0887,177.61,229.11,-5.2,False
ad574f,38.4918,-81.2996,187.74,249.13,0.0,False
a71337,37.9021,-84.3654,196.21,306.9,-0.33,False
a89fe0,34.3494,-118.714,138.57,92.98,-4.88,False
ac2439,38.2225,-81.7001,181.97,254.59,-5.2,False
a283f4,37.0369,-89.6751,266.02,145.08,0.0,False
a34f7f,35.9616,-115.2354,118.1,24.44,-7.48,False
abfd39,28.3707,-81.2952,70.5,358.75,-2.6,False
a7e9e4,33.9405,-118.3917,4.63,81.56,,True
e49f0f,21.6924,-71.1447,251.99,130.94,0.0,False
c08536,43.7569,-79.7061,111.02,286.42,18.86,False
7c7f4d,-32.8772,151.0823,63.6,170.69,0.0,False
a2d3b3,41.5222,-120.2191,243.01,167.41,-0.33,False
a7130c,39.7599,-104.9756,155.53,254.26,20.48,False
801751,13.9399,79.6383,149.92,136.39,-6.18,False
8a01ae,-6.4529,109.1248,232.53,90.13,4.23,False
a46310,36.0253,-87.4207,183.08,329.62,-0.33,False
801754,12.9987,80.192,60.39,249.56,-3.58,False
a64cdb,35.9384,141.3297,110.99,300.96,0.33,False
a36994,44.5107,-93.1263,210.19,150.05,9.1,False
ac377b,35.6013,-119.5298,213.41,320.48,0.0,False
7cb035,-34.6021,149.9847,54.04,271.64,3.9,False
a2107b,33.6378,-84.4289,0.06,286.88,,True
abadf9,31.0548,-84.5633,211.13,323.52,-4.88,False
3c4b24,49.5885,8.7409,150.28,332.03,-10.08,False
3c4b28,35.5435,139.7717,0.0,239.06,,True
39e68d,49.0042,2.5977,0.0,75.94,,True
ab4af1,33.4381,-111.9964,0.0,244.69,,True
3c6542,44.9666,25.2013,207.31,295.74,-0.33,False
348049,45.6907,0.5235,233.53,215.41,-0.33,False
ac245c,31.6968,-97.5208,248.32,23.7,10.73,False
7c6c7c,-31.2883,148.6805,127.25,158.41,-0.33,False
a4bf41,32.7067,-107.9817,193.11,274.89,0.33,False
a4503d,34.1799,-77.2232,285.99,16.51,0.0,False
e4932a,-16.274,-44.5226,244.24,19.69,-0.33,False
e4932b,-22.3492,-43.267,217.72,60.41,0.0,False
a4bf48,32.9464,-111.644,63.5,295.94,2.6,False
a3a647,26.3726,-82.8031,219.28,297.53,13.66,False
7c6049,-31.0811,151.4842,135.5,191.61,0.33,False
ab9a5b,37.2798,126.6154,87.28,320.02,0.0,False
7c6c96,-30.5252,151.0015,220.72,209.61,0.0,False
3c4b35,20.1879,-98.777,233.45,336.77,3.9,False
a61949,20.0424,-98.0965,220.11,255.38,-0.33,False
7c6c92,-24.4153,151.6283,227.67,324.66,0.0,False
a7618f,37.7308,-122.2118,0.0,255.94,,True
3c4b2b,45.85,-71.699,279.2,70.63,0.33,False
c821ee,-44.4695,171.2778,259.82,199.19,-12.35,False
7618cc,2.6342,102.0946,219.37,306.22,2.6,False
7c7f9c,-37.731,144.036,47.66,166.26,0.33,False
a52cc8,36.187,-78.1845,123.78,242.8,-7.8,False
aaca75,27.9854,-82.14,126.05,269.3,8.13,False
3c6561,43.0442,-65.7786,293.82,65.81,0.0,False
c821f8,-38.9891,175.1077,127.28,346.92,0.0,False
3c6566,49.7884,8.6695,126.55,270.23,-1.95,False
a008c5,42.0005,-82.5179,234.59,102.02,9.1,False
a4bf68,30.2629,-94.8624,281.49,103.53,0.33,False
a008c9,40.0477,-83.3238,188.41,265.3,0.0,False
ac71dd,30.2994,-81.5845,232.62,334.17,0.33,False
3c6573,38.8,8.8815,225.89,358.83,0.0,False
3c6572,41.4336,20.7833,210.1,321.36,0.0,False
3c6571,48.384,14.364,216.5,296.08,0.0,False
ac247a,38.3503,-90.1003,124.21,347.81,-9.1,False
a39e0c,32.3125,-93.875,119.87,126.62,-0.33,False
ada5ee,36.9348,-113.2744,186.63,236.35,0.0,False
abb595,30.6078,-98.0659,203.77,291.32,0.0,False
846a34,25.0471,121.1831,64.9,48.86,-2.6,False
7c49b9,-34.9288,138.8638,80.85,161.45,-0.33,False
a1b519,33.9385,-118.417,6.43,351.56,,True
addb47,36.078,-115.1603,7.72,270.0,,True
a8dcee,30.6749,-81.6969,243.18,352.83,3.58,False
a45091,39.273,-78.3415,199.26,122.13,-12.03,False
a2ce02,32.819,-96.8616,73.05,288.05,-1.95,False
78207f,25.2754,117.9471,142.01,175.01,-4.55,False
a2ce05,47.0781,-113.3218,202.38,284.42,0.0,False
a94c7b,34.0771,-85.1547,225.84,107.36,-9.75,False
a235b7,39.9518,-102.4297,276.23,86.58,2.6,False
c01074,51.8704,-110.8125,237.34,255.18,0.0,False
a17847,27.8405,-83.0105,149.83,177.64,-7.8,False
aa7a83,32.7475,-116.3422,159.66,264.64,-9.1,False
3c64a8,41.832,43.9105,222.78,275.57,6.83,False
aba282,36.2299,-86.7096,0.0,0.0,0.33,False
0a0046,45.7477,-62.2627,269.48,101.12,0.0,False
3c64c4,51.9678,-10.8087,267.21,92.32,0.33,False
3c64c3,41.9371,41.0007,249.14,264.43,-0.33,False
a3b8e1,27.5795,-81.6893,212.54,324.66,0.0,False
a8469e,47.3804,-121.9767,169.52,74.15,9.43,False
3c64ab,49.7784,9.6133,174.85,296.19,-10.08,False
e491af,-22.1946,-50.7432,243.7,291.42,0.0,False
a1ae05,31.9055,-107.2648,211.77,279.51,15.61,False
8016a3,17.028,69.8688,225.57,298.32,0.0,False
8016a1,17.6904,74.013,221.35,168.74,9.1,False
4aca63,38.6367,-110.6207,286.46,54.8,0.0,False
4aca66,53.5801,15.8187,222.21,337.83,0.0,False
a7000b,34.3622,-117.4699,79.67,301.53,0.0,False
a70c67,38.4712,-96.3295,182.52,246.76,-4.88,False
a6f332,48.2562,-114.0705,124.5,99.03,7.48,False
aa7a61,37.6486,-122.4551,184.03,187.07,21.46,False
a1a21f,33.1316,-81.374,206.13,168.05,0.0,False
a94c2a,35.7397,-78.5644,284.21,71.2,-0.33,False
a26b51,33.8962,-83.4223,228.46,153.67,-0.33,False
7c6c25,-31.9395,115.9623,64.41,58.72,-1.63,False
