balloon_id,latitude,longitude,altitude,speed_kmh,direction_deg,speed_kmh_1h,speed_kmh_2h,speed_kmh_3h,speed_kmh_5h,speed_kmh_7h,speed_kmh_8h,speed_kmh_10h,speed_kmh_17h,direction_deg_1h,direction_deg_2h,direction_deg_3h,direction_deg_5h,direction_deg_7h,direction_deg_8h,direction_deg_10h,direction_deg_17h
balloon_527,-26.56166064457259,44.8933502420038,14.66445338095998,81.1225162468055,14.06887841934588,81.1225162468055,98.54671554576552,99.91235378214856,102.34211475273354,105.76120926805328,108.85647672603535,112.10353777176942,122.12843886518876,14.06887841934588,16.0576660649171,18.306168554988687,21.704579570177145,25.803292933526336,28.66421668436732,31.369892844067635,38.69387955772618
balloon_528,-17.11602456900651,137.37443988141328,7.827086525734694,87.14755640379535,155.76749236244336,87.14755640379535,103.68620275225386,102.85284941314612,101.44691421199668,99.64366108444568,98.54215030240024,97.34202497220556,94.7028128143243,155.76749236244336,156.67618734153666,157.907187828592,159.61656991644372,162.01124113371247,163.92683149075845,165.92467544699048,172.46905431154232
balloon_529,49.55786619569761,13.062911723466224,9.21770491920922,65.71182045082806,145.79512322450023,65.71182045082806,76.61014765281783,74.1275345416819,70.0946057828084,65.0522098736562,61.65519609849707,58.49962839987876,50.51210449598022,145.79512322450023,140.86315344546583,135.43353792868606,126.37709778675816,114.21739433245044,104.75321147948102,94.18604995355643,60.074406351089806
balloon_530,-74.18255899188593,33.278761963033446,7.484557587626054,23.7747045379675,15.333200765580273,23.7747045379675,29.12720984485866,29.49545401304397,30.66538727842387,32.474564585330675,34.2354205754955,36.14403635194451,42.95030153978414,15.333200765580273,18.750743597370615,22.895877988709287,29.3113749506731,37.68509937555302,43.58178377207162,50.09613812992836,70.0394221652864
balloon_531,-68.9702653209022,-72.67294747017304,2.049528813324274,92.37256493597005,171.28568093847502,92.37256493597005,105.4939321213666,100.16531164277998,91.55509324339585,80.17782625432137,71.50255381385405,63.158802689919945,40.41286874612829,171.28568093847502,169.8297459018106,168.15800248520122,165.38372530685135,160.54864369289896,155.51025130967298,150.4482406566318,126.4488891559538
balloon_532,-28.77657711981172,61.27474938056264,13.880675186635475,349.23950656496226,305.5037275655581,349.23950656496226,420.58905648293535,421.4739172932745,421.808953365532,420.1621944568039,417.3132728427197,413.2242679513449,391.54579112477137,305.5037275655581,305.99621962836454,306.61412756404536,306.80918323510423,307.7511830590099,308.64371650061145,308.66355127436606,309.00058442655416
balloon_533,61.66423812672634,-109.3143920130382,3.2426083593238477,174.30340736383118,307.31236984391296,174.30340736383118,220.90492147186472,233.40044860457317,251.76745726803856,275.46520828132935,292.45180190568914,308.78915674959353,351.48101972894574,307.31236984391296,306.37446475098596,304.63144897998745,303.1897060584876,297.19972315277516,287.91478605914466,283.35814042821625,274.792996496071
balloon_534,-29.474123352351477,-103.29618274734042,3.796976220829563,136.31490559496945,297.62802894825876,136.31490559496945,153.70652485677812,142.79610151157738,127.23302989971332,107.6791109616374,94.51772720561672,83.34096852611808,67.41437119375014,297.62802894825876,300.97456078670325,304.776621951567,310.4827399838629,319.66522868544,328.0771439310882,337.41137054114085,14.583194466972714
balloon_535,34.73136513011882,-167.23318405475507,16.061899256775142,276.238669394188,27.674527223652603,276.238669394188,332.4810374307713,332.8020737130594,333.0446176233792,331.19233528184753,328.60722468757615,324.95899991687764,305.96867168758325,27.674527223652603,26.68251154996102,25.83931995903646,24.24303464509552,23.373434447275883,24.028643354871008,23.55264887477824,22.36130404646258
balloon_536,42.11699599284114,-174.29185394808815,6.589371363192879,52.48401795949244,32.1369773394992,52.48401795949244,63.92967345104658,64.7334155507256,66.18767158536566,67.83535041678957,68.8422020872762,69.93806365273171,71.83174678975344,32.1369773394992,33.111943518334215,34.01509979529345,34.817861450460725,36.10758163394513,37.02046730036409,37.39645638813488,37.14469858297491
