icao,latitude,longitude,velocity,heading,vertical_rate,on_ground
a4bf68,30.2733,-94.9123,281.37,103.43,0.0,False
a008c9,40.0502,-83.2847,188.41,265.3,-0.33,False
ac71dd,30.2653,-81.5655,233.54,334.28,-0.65,False
3c6573,38.7647,8.8825,225.89,358.83,0.0,False
3c6572,41.4071,20.8114,210.82,321.34,0.0,False
3c6571,48.3688,14.4105,216.04,296.14,0.0,False
ac247a,38.3306,-90.095,125.11,348.14,-8.13,False
a39e0c,32.3245,-93.8941,129.96,126.14,-0.33,False
ada5ee,36.9514,-113.2434,186.63,236.35,0.0,False
abb595,30.5978,-98.0303,202.64,283.51,0.33,False
846a34,25.0411,121.1754,65.34,49.79,-2.6,False
7c49b9,-34.9288,138.8638,80.85,161.45,-0.33,False
a1b519,33.9385,-118.417,6.43,351.56,,True
addb47,36.078,-115.1571,7.2,270.0,,True
a8dcee,30.6355,-81.691,242.22,352.68,4.55,False
a45091,39.2878,-78.3796,203.38,111.83,-10.73,False
a2ce02,32.8153,-96.8485,73.21,288.43,0.33,False
78207f,25.2984,117.9448,143.59,174.86,-5.53,False
a2ce05,47.0702,-113.2767,202.88,284.39,0.0,False
a94c7b,34.0879,-85.1962,228.94,107.25,-9.1,False
a235b7,39.9491,-102.4885,275.72,86.58,8.78,False
c01074,51.8804,-110.7512,237.34,255.18,0.0,False
a17847,27.865,-83.0116,151.37,177.66,-8.13,False
aa7a83,32.75,-116.3109,160.22,264.47,-10.73,False
3c64a8,41.8287,43.9575,220.73,275.62,10.73,False
aba282,36.2299,-86.7096,0.0,0.0,0.65,False
0a0046,45.7477,-62.2627,269.28,101.46,0.33,False
3c64c4,51.9695,-10.8769,267.73,92.31,0.0,False
3c64c3,41.9371,41.0007,249.14,264.43,-0.33,False
a3b8e1,27.5514,-81.667,212.66,324.85,-0.33,False
a8469e,47.3728,-122.0157,165.92,73.98,6.83,False
3c64ab,49.7661,9.652,177.38,296.34,-10.08,False
e491af,-22.1946,-50.7432,243.7,291.42,0.0,False
a1ae05,31.8999,-107.2253,211.77,279.51,11.05,False
8016a3,17.028,69.8688,225.57,298.32,0.0,False
8016a1,17.7245,74.0078,221.48,172.66,9.75,False
4aca63,38.6101,-110.6689,286.88,54.86,0.0,False
4aca66,53.5472,15.8412,222.21,337.83,0.0,False
a7000b,34.3554,-117.4567,79.67,301.53,0.0,False
a70c67,38.4831,-96.294,185.29,246.78,-0.98,False
a6f332,48.2592,-114.0997,123.91,98.84,7.48,False
aa7a61,37.6775,-122.4506,179.37,187.08,18.53,False
a1a21f,33.1634,-81.382,206.53,168.21,-0.33,False
a94c2a,35.7249,-78.6182,281.6,71.47,0.0,False
a26b51,33.9292,-83.4419,228.92,153.72,0.33,False
7c6c25,-31.9449,115.9515,64.85,58.96,-3.9,False
ab77b9,26.7064,-82.212,168.25,145.34,-2.28,False
a222b2,38.0351,-75.6067,285.08,33.52,0.0,False
ac370b,32.5086,-81.1382,151.32,156.14,-7.8,False
